,Unnamed: 0,id_,tweet,d2v_avaliation,entropy
241,241,241,wir überholen grad den verband #ffw #hochwasser #rückfahrt,0,0.026768488763444582
439,439,439,das ist u. a. der grund warum ich mich jetzt nicht mit dem hochwasser beschäftige... 98 war schlimn genug.,0,0.026768488763444582
942,942,942,seit heute morgen um 6 am #fluthilfe leisten #deichaufbaulifestyle,1,0.2291936224876597
1032,1032,1032,so dann ma ab zu buckau...kann montag sicher nich zur arbeit #hochwasser,1,0.026768488763444582
1116,1116,1116,"es läge an den grünen, dass es soviel hochwasser gibt"""" zitiert @jtrittin den brüderle #me13 :) http://t.co/ngszzqjwgy",0,0.026768488763444582
1318,1318,1318,@dubstepwoop meinst du wegen hochwasser oder weil meine frau einkaufen war?,0,0.026768488763444582
1357,1357,1357,@die_gruenen die sollten lieber beim hochwasserschutz helfen.,0,0.026768488763444582
1454,1454,1454,und was macht @db_bahn? https://t.co/wfg9rucgsv #hochwasser,0,0.026768488763444582
1593,1593,1593,"@aliasnews gefluteter keller, iiih #georgina :( spaß beiseite, viel erfolg euch :/ ich machte feierabend *g*",0,0.1051156311549938
1748,1748,1748,sonnenschein am #weserdeich.- #bhv #sunshine #weser @ lohmannsdeich http://t.co/ijlk1ygbmr,0,0.20270143721078626
1998,1998,1998,#lotzen lotzen ein frachtschiff. #weser #bhv @ lohmannsdeich http://t.co/cdgtu8yldk,0,0.12407799133266585
2433,2433,2433,jetzt der @mdr_san live vor der tür mit kristin schwietzer. #magdeburg #hochwasser #zollstraße http://t.co/ljagjkuls1,1,0.026768488763444582
2484,2484,2484,merkelwürdige rheine misére in flutland :-(,0,0.1051156311549938
2625,2625,2625,in #lostau am netto sind jetzt ca. 200 leute am sandsäcke füllen - vielen dank #hochwasser #altlostau http://t.co/ktlxqngsyq,1,0.026768488763444582
2627,2627,2627,#stadtrundfahrt in #dresden #hochwasser @ sächsische dampfschifffahrt - terrassenufer http://t.co/auqfwkstbk,1,0.026768488763444582
2691,2691,2691,jetzt werden die sandsäcke hier auf dem werder von @ups geliefert. danke! #magdeburg #hochwasser,1,0.026768488763444582
2707,2707,2707,am deich in #lostau werden noch leute mit gummistiefeln benötigt #hochwasser #altlostau http://t.co/n0feuapa3r,1,0.15084648009611046
2722,2722,2722,aktuelle fotos vom #hochwasser in lostau gibt es hier: http://t.co/bwyw1oibrq news: http://t.co/eusst0ue7y,1,0.026768488763444582
3657,3657,3657,#wittenberge #flood #support #hochwasser @ alte ölmühle http://t.co/dd500u0dup,1,0.2028754332880175
3698,3698,3698,strom abgeschaltet ohne vorwarnung. wo blieb die information @ottostadt? #magdeburg #hochwasser #zollstraße,1,0.026768488763444582
3987,3987,3987,kurz vor eisennach #ffw #hochwasser #rückfahrt,0,0.026768488763444582
4247,4247,4247,"@netzfeuilleton: #hochwasser in #mainz http://t.co/howotkobia""""",0,0.026768488763444582
4303,4303,4303,mein deich hat noch ca. 25 bis 30 zentimeter.,1,0.12407799133266585
4515,4515,4515,"nennt sich """"deichgraf"""" @ fährhaus tespe http://t.co/i3su2ufazu",0,0.12407799133266585
4735,4735,4735,habe mir heute ein bild vor ort in fischerdorf gemacht. schrecklich #donau #hochwasser,1,0.026768488763444582
4839,4839,4839,zug bleibt vor der elbe stehen. hoffentlich kommen wir noch über die brücke... #hochwasser,1,0.026768488763444582
5045,5045,5045,#hochwasser #dessau schillerparkteich http://t.co/hswd0qoiws,1,0.026768488763444582
5072,5072,5072,igitt klein steph hat geträumt u stand grad voll auf der überfluteten wiese u nu bin ich klatsch nass u flipflops im arsch,0,0.1051156311549938
5176,5176,5176,"und da es zuhause viel zu langweilig und warm ist , geht s nun wieder zurück ins hochwasser xd flood control die 2.te",1,0.2028754332880175
5402,5402,5402,#celiogermanydesk volunteers mount flood-prevention effort in wittenberg http://t.co/5gn5kqohox,0,0.1761069445245729
5446,5446,5446,und es wird nicht weniger! hochwasser in magdeburg... http://t.co/modmodiw4j,1,0.026768488763444582
5565,5565,5565,"@loxlae guten abend ... ich habe schon 2 fahrten ... heute ist ja auch """"voll die ruhr"""" (hat nichts mit hochwasser zu tun)",0,0.026768488763444582
5594,5594,5594,#hochwasser #magdeburg #buckau #elbe @ buckau http://t.co/lvk8imcpky,1,0.026768488763444582
5832,5832,5832,#hochwasser2013 #fuckoffhochwasser #so #bekämpft #pirna #das #hochwasser #kids #schaukel @ pirna http://t.co/oqmwficqmi,1,0.06491748084643903
6042,6042,6042,"@juscha1970 ich denke, der deich reicht. hoffentlich.",1,0.12407799133266585
6062,6062,6062,"@kallemd richtig dicke! strom weg, kaltes wasser aus dem hahn und vor der tür. aber die leute kämpfen noch am sandsackdeich. werder noch da!",1,0.4762918803818117
6102,6102,6102,@benzaaajbmax: ich war heute am deich an der weser und am nachmittag war im speckbütteler park. jetzt kommt rock am ring. :),0,0.12407799133266585
6216,6216,6216,@sabberschnitte da wurde echt viel zerstört. auch deren haus -dresden- is vom hochwasser futsch! :( ich drück euch wirkl.die daumen!paßauf!,1,0.026768488763444582
6236,6236,6236,gegen das hochwasser kämpfen,0,0.026768488763444582
6251,6251,6251,@lanovena9 hey wie geht es dir und deiner familie? seid ihr vom hochwasser betroffen?,0,0.026768488763444582
6690,6690,6690,das leben ist schön. nach 10 jahren endlich mal wieder den #downwash einer #huey im gesicht gehabt. trotz hochwasser,0,0.026768488763444582
6759,6759,6759,"@janamerkel @juscha1970 standhalten tut der deich, keine panik. der ist nagelneu, zum glück. es geht hier allein um die höhe.",1,0.12407799133266585
6911,6911,6911,#dafuq #hochwasser #magdeburg #watet @ heumarkt http://t.co/fzdwwwsxwq,1,0.026768488763444582
7594,7594,7594,einen neuen sandsackwall errichten http://t.co/iskefetlmz,1,0.3522138890491458
7919,7919,7919,warum rollt die (wenn auch jetzt gute) hilfe in #lostau erst heute an? warum wurde do13-sa13 uhr am deich nur min. gearbeitet? #hochwasser,1,0.15084648009611046
8226,8226,8226,#hochwasser feuerwehr kontrolliert deiche in cracau. #magdeburg http://t.co/tvjmfg4k0l,1,0.15084648009611046
8373,8373,8373,ich bin jetzt wieder am deich #hochwasser #lostau,1,0.15084648009611046
8434,8434,8434,#hochwasser brücke am wasserfall in cracau #magdeburg http://t.co/di9pjprzyi,1,0.026768488763444582
8469,8469,8469,schlimme bilder :( #hochwasser #nachrichten,0,0.026768488763444582
8667,8667,8667,"rekordhochwasser erwartet, asb katastrophenschutz unterwegs zur elbestadt lauenburg http://t.co/exykhhdirc",1,0.026768488763444582
